party,seats,sq_cabinet,sq_pm,election_year,banzhaf,shapley,splus,country,cabinet_name,caretaker,cabinet_party,prime_minister,left_rightx,left_righty,cabinet_seats,total_cabinet_size,party_name_english,country_id,election_id,seats_share,enpp,mingov,bicameral,miw_proportion,cabinet_proportion,seats_proportion,country_dummy1,country_dummy2,country_dummy3,country_dummy4,country_dummy5,country_dummy6,country_dummy7,country_dummy8,country_dummy9,country_dummy10,country_dummy11,country_dummy12,country_dummy13
FRP,12,0,0,1990,0.06122449,0.057142857,0.055164006,DNK,Schluter V,0,0,0,9.0063492,8.7,0,20,Progress Party,21,157,6.7039108,4.5558085,1,0,0.085714288,0,0.068571426,0,0,0,1,0,0,0,0,0,0,0,0,0
SD,69,1,1,1990,0.55102038,0.52380955,0.51587081,DNK,Schluter V,0,0,0,3.8689841,3.8,0,20,Social Democrats,21,157,38.547485,4.5558085,1,0,0.37142858,0,0.39428571,0,0,0,1,0,0,0,0,0,0,0,0,0
V,29,0,0,1990,0.10204081,0.12380952,0.13069074,DNK,Schluter V,0,1,0,7.2685714,6.7,10,20,Liberal Party of Denmark,21,157,16.201117,4.5558085,1,0,0.14285715,0.5,0.16571428,0,0,0,1,0,0,0,0,0,0,0,0,0
LSAP,14,0,0,2004,0.16666667,0.16666667,0.1669783,LUX,Juncker III,0,1,0,3.9473684,,7,25,Luxembourg Socialist Workers' Party,7,383,23.333334,3.8054969,0,0,0.2,0.28,0.23333333,0,0,0,0,0,0,0,0,1,0,0,0,0
GRENG,7,0,0,2004,0.16666667,0.16666667,0.12029131,LUX,Juncker III,0,0,0,1.5789474,,0,25,The Greens,7,383,11.666667,3.8054969,0,0,0.2,0,0.11666667,0,0,0,0,0,0,0,0,1,0,0,0,0
ADR,5,0,0,2004,0,0,0.047515247,LUX,Juncker III,0,0,0,6.3157895,,0,25,Alternative Democratic Reform Party,7,383,8.333333,3.8054969,0,0,0,0,0.083333336,0,0,0,0,0,0,0,0,1,0,0,0,0
DP,10,1,0,2004,0.16666667,0.16666667,0.1656701,LUX,Juncker III,0,0,0,7.3684211,,0,25,Democratic Party,7,383,16.666666,3.8054969,0,0,0.2,0,0.16666667,0,0,0,0,0,0,0,0,1,0,0,0,0
CSV,24,1,1,2004,0.5,0.5,0.49954504,LUX,Juncker III,0,1,1,6.7105263,,18,25,Christian Social People's Party,7,383,40,3.8054969,0,0,0.40000001,0.72000003,0.40000001,0,0,0,0,0,0,0,0,1,0,0,0,0
SV,9,0,0,1997,0.03125,0.026190476,0.027571648,NOR,Bondevik I,0,0,0,1.4611111,1.2,0,19,Socialist Left Party,9,669,5.4545455,4.3608842,1,0,0.057142857,0,0.054545455,0,0,0,0,0,0,0,0,0,0,1,0,0
H,23,0,0,1997,0.11458334,0.12619047,0.12380702,NOR,Bondevik I,0,0,0,7.7388889,7.7,0,19,Conservative Party,9,669,13.939394,4.3608842,1,0,0.14285715,0,0.13939394,0,0,0,0,0,0,0,0,0,0,1,0,0
DNA,65,1,1,1997,0.55208331,0.5404762,0.54334867,NOR,Bondevik I,0,0,0,3.2388889,3,0,19,Norwegian Labour Party,9,669,39.39394,4.3608842,1,0,0.37142858,0,0.39393941,0,0,0,0,0,0,0,0,0,0,1,0,0
V,6,0,0,1997,0.010416667,0.007142857,0.015302398,NOR,Bondevik I,0,1,0,4.7,4,4,19,Liberal Party of Norway,9,669,3.6363637,4.3608842,1,0,0.028571429,0.21052632,0.036363635,0,0,0,0,0,0,0,0,0,0,1,0,0
KP,1,0,0,1997,0.010416667,0.007142857,0.003349546,NOR,Bondevik I,0,0,0,,,0,19,Coastal Party,9,669,0.60606062,4.3608842,1,0,0.028571429,0,0.006060606,0,0,0,0,0,0,0,0,0,0,1,0,0
SP,11,0,0,1997,0.052083332,0.040476192,0.037137359,NOR,Bondevik I,0,1,0,5.3055556,5.8,6,19,Centre Party,9,669,6.6666665,4.3608842,1,0,0.085714288,0.31578946,0.06666667,0,0,0,0,0,0,0,0,0,0,1,0,0
KRF,25,0,0,1997,0.11458334,0.12619047,0.12475074,NOR,Bondevik I,0,1,1,6.1333333,6.1,9,19,Christian Democratic Party,9,669,15.151515,4.3608842,1,0,0.14285715,0.47368422,0.15151516,0,0,0,0,0,0,0,0,0,0,1,0,0
FR,25,0,0,1997,0.11458334,0.12619047,0.12473264,NOR,Bondevik I,0,0,0,9.2444444,9.4,0,19,Progress Party,9,669,15.151515,4.3608842,1,0,0.14285715,0,0.15151516,0,0,0,0,0,0,0,0,0,0,1,0,0
SD,55,0,0,1988,0.3859649,0.3952381,0.38727471,DNK,Schluter IV,0,0,0,3.8689841,3.8,0,21,Social Democrats,21,387,30.726257,5.544385,1,0,0.31428573,0,0.31428573,0,0,0,1,0,0,0,0,0,0,0,0,0
KF,35,1,1,1988,0.1754386,0.2,0.19529249,DNK,Schluter IV,0,1,1,7.1683492,7.3,9,21,Conservatives,21,387,19.553072,5.544385,1,0,0.2,0.42857143,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0
V,22,1,0,1988,0.10526316,0.095238097,0.10826144,DNK,Schluter IV,0,1,0,7.2685714,6.7,7,21,Liberal Party of Denmark,21,387,12.290503,5.544385,1,0,0.11428571,0.33333334,0.12571429,0,0,0,1,0,0,0,0,0,0,0,0,0
RV,10,0,0,1988,0.052631579,0.047619049,0.052252274,DNK,Schluter IV,0,1,0,4.9697778,4.8,5,21,Danish Social-Liberal Party,21,387,5.5865922,5.544385,1,0,0.057142857,0.23809524,0.057142857,0,0,0,1,0,0,0,0,0,0,0,0,0
KRF,4,1,0,1988,0.01754386,0.014285714,0.018171396,DNK,Schluter IV,0,0,0,5.8095237,6.2,0,21,Christian People's Party,21,387,2.2346368,5.544385,1,0,0.028571429,0,0.022857143,0,0,0,1,0,0,0,0,0,0,0,0,0
SF,24,0,0,1988,0.14035088,0.13333334,0.12325589,DNK,Schluter IV,0,0,0,2.1851429,1.9,0,21,Socialist Peoples Party,21,387,13.407822,5.544385,1,0,0.14285715,0,0.13714285,0,0,0,1,0,0,0,0,0,0,0,0,0
CD,9,1,0,1988,0.052631579,0.047619049,0.043940727,DNK,Schluter IV,0,0,0,5.6089948,5.7,0,21,Centre Democrats,21,387,5.0279331,5.544385,1,0,0.057142857,0,0.051428571,0,0,0,1,0,0,0,0,0,0,0,0,0
FRP,16,0,0,1988,0.070175439,0.06666667,0.071551062,DNK,Schluter IV,0,0,0,9.0063492,8.7,0,21,Progress Party,21,387,8.9385471,5.544385,1,0,0.085714288,0,0.09142857,0,0,0,1,0,0,0,0,0,0,0,0,0
CU,6,0,0,2006,0.03822314,0.036507938,0.038035203,NLD,Balkenende IV,0,1,0,6.315,,2,16,ChristianUnion -- Reformed Political Party,8,578,4,5.5391431,0,1,0.044776119,0.125,0.039999999,0,0,0,0,0,0,0,0,0,1,0,0,0
PVDA,33,0,0,2006,0.20971075,0.22261904,0.22517884,NLD,Balkenende IV,0,1,0,3.5371111,2.6,6,16,Labour,8,578,22,5.5391431,0,1,0.21641791,0.375,0.22,0,0,0,0,0,0,0,0,0,1,0,0,0
CDA,41,1,1,2006,0.31508264,0.31547618,0.31934148,NLD,Balkenende IV,0,1,1,5.8017777,5.7,8,16,Christian Democrats,8,578,27.333334,5.5391431,0,1,0.27611941,0.5,0.27333334,0,0,0,0,0,0,0,0,0,1,0,0,0
GL,7,0,0,2006,0.04855372,0.045634922,0.04514632,NLD,Balkenende IV,0,0,0,2.0366666,,0,16,Green Left,8,578,4.6666665,5.5391431,0,1,0.052238807,0,0.046666667,0,0,0,0,0,0,0,0,0,1,0,0,0
PVDD,2,0,0,2006,0.015495868,0.016666668,0.013557454,NLD,Balkenende IV,0,0,0,,,0,16,Party for the Animals,8,578,1.3333334,5.5391431,0,1,0.014925373,0,0.013333334,0,0,0,0,0,0,0,0,0,1,0,0,0
PVV,9,0,0,2006,0.065082647,0.061904762,0.061166544,NLD,Balkenende IV,0,0,0,8.8,,0,16,Party for Freedom,8,578,6,5.5391431,0,1,0.067164183,0,0.059999999,0,0,0,0,0,0,0,0,0,1,0,0,0
SGP,2,0,0,2006,0.015495868,0.016666668,0.013233002,NLD,Balkenende IV,0,0,0,8.4472222,9.2,0,16,Political Reformed Party,8,578,1.3333334,5.5391431,0,1,0.014925373,0,0.013333334,0,0,0,0,0,0,0,0,0,1,0,0,0
SP,25,0,0,2006,0.15599173,0.15000001,0.14952247,NLD,Balkenende IV,0,0,0,1.2425,0.6,0,16,Socialist Party,8,578,16.666666,5.5391431,0,1,0.15671642,0,0.16666667,0,0,0,0,0,0,0,0,0,1,0,0,0
D66,3,0,0,2006,0.023760332,0.02420635,0.020051289,NLD,Balkenende IV,0,0,0,4.4204445,4.4,0,16,Libertarians,8,578,2,5.5391431,0,1,0.02238806,0,0.02,0,0,0,0,0,0,0,0,0,1,0,0,0
VVD,22,1,0,2006,0.11260331,0.11031746,0.11476741,NLD,Balkenende IV,0,0,0,7.2037778,7.4,0,16,People's Party for Freedom and Democracy,8,578,14.666667,5.5391431,0,1,0.13432837,0,0.14666666,0,0,0,0,0,0,0,0,0,1,0,0,0
WP,4,0,0,1987,0.027027028,0.047619049,0.040988043,IRL,Haughey III,0,0,0,1.8,1.8,0,16,Workers Party,37,43,2.4096386,2.8921075,1,1,0.090909094,0,0.024242423,0,0,0,0,0,1,0,0,0,0,0,0,0
LAB,12,0,0,1987,0.027027028,0.047619049,0.050667077,IRL,Haughey III,0,0,0,3.6788889,3.6,0,16,Labour Party,37,43,7.2289157,2.8921075,1,1,0.090909094,0,0.07272727,0,0,0,0,0,1,0,0,0,0,0,0,0
FG,51,0,0,1987,0.027027028,0.047619049,0.050667077,IRL,Haughey III,0,0,0,6.4893333,6.8,0,16,Fine Gael (Familiy of the Irish),37,43,30.722891,2.8921075,1,1,0.090909094,0,0.30909091,0,0,0,0,0,1,0,0,0,0,0,0,0
PD,14,0,0,1987,0.027027028,0.047619049,0.050667077,IRL,Haughey III,0,0,0,7.9902778,,0,16,Progressive Democrats,37,43,8.4337349,2.8921075,1,1,0.090909094,0,0.084848486,0,0,0,0,0,1,0,0,0,0,0,0,0
DSP,1,0,0,1987,0.027027028,0.047619049,0.011187691,IRL,Haughey III,0,0,0,,,0,16,Democratic Socialist Party,37,43,0.60240966,2.8921075,1,1,0.090909094,0,0.006060606,0,0,0,0,0,1,0,0,0,0,0,0,0
FF,82,1,1,1987,0.83783782,0.71428573,0.78536028,IRL,Haughey III,0,1,1,5.9926667,6.3,16,16,Fianna Fail (Soldiers of Destiny),37,43,48.795181,2.8921075,1,1,0.45454547,1,0.4969697,0,0,0,0,0,1,0,0,0,0,0,0,0
NONE,1,0,0,1987,0.027027028,0.047619049,0.010462763,IRL,Haughey III,0,0,0,,,0,16,no party affiliation,37,43,1.8072289,2.8921075,1,1,0.090909094,0,0.006060606,0,0,0,0,0,1,0,0,0,0,0,0,0
LINKE,54,0,0,2005,0.14285715,0.13333334,0.13331333,DEU,Merkel I,0,0,0,1.1830556,,0,17,The Left,54,118,8.7947884,4.0520649,0,1,0.14285715,0,0.087947883,0,0,1,0,0,0,0,0,0,0,0,0,0
GRUE,51,1,0,2005,0.14285715,0.13333334,0.13331333,DEU,Merkel I,0,0,0,2.8744444,2.8,0,17,Alliance 90 / Greens,54,118,8.3061886,4.0520649,0,1,0.14285715,0,0.083061889,0,0,1,0,0,0,0,0,0,0,0,0,0
FDP,61,0,0,2005,0.14285715,0.13333334,0.13336334,DEU,Merkel I,0,0,0,5.8064444,5.1,0,17,Free Democratic Party,54,118,9.9348536,4.0520649,0,1,0.14285715,0,0.099348538,0,0,1,0,0,0,0,0,0,0,0,0,0
CDU/CSU,226,0,0,2005,0.2857143,0.30000001,0.30002999,DEU,Merkel I,0,1,1,6.1757778,6.7,8,17,Christian Democratic Union,54,118,29.315962,4.0520649,0,1,0.2857143,0.47058824,0.36807817,0,0,1,0,0,0,0,0,0,0,0,0,0
SPD,222,1,1,2005,0.2857143,0.30000001,0.29998001,DEU,Merkel I,0,1,0,3.5988889,3.3,9,17,Social Democratic Party of Germany,54,118,36.156353,4.0520649,0,1,0.2857143,0.52941179,0.3615635,0,0,1,0,0,0,0,0,0,0,0,0,0
DNA,63,1,1,1989,0.46153846,0.46666667,0.470961,NOR,Syse,0,0,0,3.2388889,3,0,19,Norwegian Labour Party,9,571,38.18182,4.2347178,1,0,0.36363637,0,0.38181818,0,0,0,0,0,0,0,0,0,0,1,0,0
SP,11,0,0,1989,0.07692308,0.06666667,0.062740155,NOR,Syse,0,1,0,5.3055556,5.8,6,19,Centre Party,9,571,6.6666665,4.2347178,1,0,0.090909094,0.31578946,0.06666667,0,0,0,0,0,0,0,0,0,0,1,0,0
KRF,14,0,0,1989,0.07692308,0.06666667,0.065134913,NOR,Syse,0,1,0,6.1333333,6.1,5,19,Christian Democratic Party,9,571,8.484848,4.2347178,1,0,0.090909094,0.2631579,0.084848486,0,0,0,0,0,0,0,0,0,0,1,0,0
FF,1,0,0,1989,0,0,0.004690959,NOR,Syse,0,0,0,,,0,19,Future for Finnmark,9,571,0.60606062,4.2347178,1,0,0,0,0.006060606,0,0,0,0,0,0,0,0,0,0,1,0,0
SV,17,0,0,1989,0.07692308,0.06666667,0.084469646,NOR,Syse,0,0,0,1.4611111,1.2,0,19,Socialist Left Party,9,571,10.30303,4.2347178,1,0,0.090909094,0,0.1030303,0,0,0,0,0,0,0,0,0,0,1,0,0
FR,22,0,0,1989,0.15384616,0.16666667,0.14841659,NOR,Syse,0,0,0,9.2444444,9.4,0,19,Progress Party,9,571,13.333333,4.2347178,1,0,0.18181819,0,0.13333334,0,0,0,0,0,0,0,0,0,0,1,0,0
H,37,0,0,1989,0.15384616,0.16666667,0.16358674,NOR,Syse,0,1,1,7.7388889,7.7,8,19,Conservative Party,9,571,22.424242,4.2347178,1,0,0.18181819,0.42105263,0.22424242,0,0,0,0,0,0,0,0,0,0,1,0,0
CVP,29,1,1,1995,0.20466322,0.2067821,0.20947812,BEL,Dehaene II,0,1,1,5.7286666,5.8,6,20,Flemish Christian Peoples Party,64,332,19.333334,8.0299788,0,1,0.19333333,0.30000001,0.19333333,0,1,0,0,0,0,0,0,0,0,0,0,0
SP,20,1,0,1995,0.13471502,0.13535354,0.13341834,BEL,Dehaene II,0,1,0,3.3017778,2.9,4,20,Socialist Party,64,332,13.333333,8.0299788,0,1,0.13333334,0.2,0.13333334,0,1,0,0,0,0,0,0,0,0,0,0,0
VU,5,0,0,1995,0.03195164,0.03138528,0.030927639,BEL,Dehaene II,0,0,0,6.4292222,6.8,0,20,People's Union,64,332,3.3333333,8.0299788,0,1,0.033333335,0,0.033333335,0,1,0,0,0,0,0,0,0,0,0,0,0
VB,11,0,0,1995,0.069948189,0.069480516,0.069402285,BEL,Dehaene II,0,0,0,9.7272223,9.8,0,20,Flemish Block,64,332,7.3333335,8.0299788,0,1,0.07333333,0,0.07333333,0,1,0,0,0,0,0,0,0,0,0,0,0
ECOLO,6,0,0,1995,0.038860105,0.038528141,0.037635937,BEL,Dehaene II,0,0,0,2.9113333,4.5,0,20,Confederated ecologists for the organisation of original struggles,64,332,4,8.0299788,0,1,0.039999999,0,0.039999999,0,1,0,0,0,0,0,0,0,0,0,0,0
PS,21,1,0,1995,0.14162348,0.14249639,0.14097874,BEL,Dehaene II,0,1,0,3.1588889,2.5,6,20,Francophone Socialist Party,64,332,14,8.0299788,0,1,0.14,0.30000001,0.14,0,1,0,0,0,0,0,0,0,0,0,0,0
FN,2,0,0,1995,0.010362694,0.00995671,0.013259525,BEL,Dehaene II,0,0,0,9.8888893,,0,20,National Front,64,332,1.3333334,8.0299788,0,1,0.013333334,0,0.013333334,0,1,0,0,0,0,0,0,0,0,0,0,0
PSC,12,1,0,1995,0.074265979,0.07344877,0.074756429,BEL,Dehaene II,0,1,0,5.5811111,6.3,4,20,Francophone Christian Social Party,64,332,8,8.0299788,0,1,0.079999998,0.2,0.079999998,0,1,0,0,0,0,0,0,0,0,0,0,0
PRL/FDF,18,0,0,1995,0.12003455,0.11868687,0.11823518,BEL,Dehaene II,0,0,0,6.5622222,,0,20,Liberal Reformation Party / Francophone Democratic Front,64,332,12,8.0299788,0,1,0.12,0,0.12,0,1,0,0,0,0,0,0,0,0,0,0,0
PVV,21,0,0,1995,0.14162348,0.14249639,0.14102358,BEL,Dehaene II,0,0,0,6.9802778,7.8,0,20,Party of Liberty and Progress,64,332,14,8.0299788,0,1,0.14,0,0.14,0,1,0,0,0,0,0,0,0,0,0,0,0
AGL-GR,5,0,0,1995,0.03195164,0.03138528,0.030884231,BEL,Dehaene II,0,0,0,2.8282222,4.5,0,20,Agalev -- Groen,64,332,3.3333333,8.0299788,0,1,0.033333335,0,0.033333335,0,1,0,0,0,0,0,0,0,0,0,0,0
SSDP,63,0,0,1995,0.37096775,0.3968254,0.39421213,FIN,Lipponen I,0,1,1,3.4931111,3,6,16,Social Democratic Party of Finland,67,24,31.5,4.8971596,0,0,0.30588236,0.40000001,0.31658292,0,0,0,0,1,0,0,0,0,0,0,0,0
SP-P,1,0,0,1995,0.002304147,0.001587302,0.003051758,FIN,Lipponen I,0,0,0,6.3916667,5.8,0,16,Finnish Party -- True Finns,67,24,0.5,4.8971596,0,0,0.011764706,0,0.005025126,0,0,0,0,1,0,0,0,0,0,0,0,0
RKP-SFP,11,1,0,1995,0.039170507,0.03015873,0.034533571,FIN,Lipponen I,0,1,0,6.3257778,6.1,2,16,Swedish Peoples Party,67,24,5.5,4.8971596,0,0,0.05882353,0.13333334,0.055276383,0,0,0,0,1,0,0,0,0,0,0,0,0
VAS,22,0,0,1995,0.076036863,0.06349206,0.069130033,FIN,Lipponen I,0,1,0,2.3719444,,1,16,Left Alliance,67,24,11,4.8971596,0,0,0.10588235,0.06666667,0.11055277,0,0,0,0,1,0,0,0,0,0,0,0,0
KOK,39,1,0,1995,0.218894,0.22619048,0.21703389,FIN,Lipponen I,0,1,0,7.1597778,7.2,5,16,National Coalition Party,67,24,19.5,4.8971596,0,0,0.2,0.33333334,0.19597989,0,0,0,0,1,0,0,0,0,0,0,0,0
EKO,1,0,0,1995,0.002304147,0.001587302,0.002933,FIN,Lipponen I,0,0,0,4.75,,0,16,Ecological Party,67,24,0.5,4.8971596,0,0,0.011764706,0,0.005025126,0,0,0,0,1,0,0,0,0,0,0,0,0
KD,7,0,0,1995,0.034562211,0.026190476,0.022095924,FIN,Lipponen I,0,0,0,7.2257778,6.8,0,16,Finnish Christian Union,67,24,3.5,4.8971596,0,0,0.047058824,0,0.035175879,0,0,0,0,1,0,0,0,0,0,0,0,0
VIHR,9,0,0,1995,0.034562211,0.026190476,0.02598149,FIN,Lipponen I,0,1,0,3.7008333,,1,16,Green League,67,24,4.5,4.8971596,0,0,0.047058824,0.06666667,0.045226131,0,0,0,0,1,0,0,0,0,0,0,0,0
KESK,44,1,1,1995,0.218894,0.22619048,0.22531207,FIN,Lipponen I,0,0,0,5.8053333,5.2,0,16,Centre Party,67,24,22,4.8971596,0,0,0.2,0,0.22110553,0,0,0,0,1,0,0,0,0,0,0,0,0
NSP,2,0,0,1995,0.002304147,0.001587302,0.005716135,FIN,Lipponen I,0,0,0,,,0,16,Young Finns,67,24,1,4.8971596,0,0,0.011764706,0,0.010050251,0,0,0,0,1,0,0,0,0,0,0,0,0
SPD,298,0,0,1998,0.5,0.5,0.53277671,DEU,Schroeder I,0,1,1,3.5988889,3.3,12,17,Social Democratic Party of Germany,54,679,44.544094,3.3013034,0,1,0.40000001,0.75,0.44544095,0,0,1,0,0,0,0,0,0,0,0,0,0
FDP,43,1,0,1998,0.16666667,0.16666667,0.12618405,DEU,Schroeder I,0,0,0,5.8064444,5.1,0,17,Free Democratic Party,54,679,6.4275036,3.3013034,0,1,0.2,0,0.064275034,0,0,1,0,0,0,0,0,0,0,0,0,0
GRUE,47,0,0,1998,0.16666667,0.16666667,0.14100757,DEU,Schroeder I,0,1,0,2.8744444,2.8,4,17,Alliance 90 / Greens,54,679,7.0254111,3.3013034,0,1,0.2,0.25,0.07025411,0,0,1,0,0,0,0,0,0,0,0,0,0
CDU/CSU,245,1,1,1998,0.16666667,0.16666667,0.14481552,DEU,Schroeder I,0,0,0,6.1757778,6.7,0,17,Christian Democratic Union,54,679,29.596413,3.3013034,0,1,0.2,0,0.36621824,0,0,1,0,0,0,0,0,0,0,0,0,0
PDS,36,0,0,1998,0,0,0.055216145,DEU,Schroeder I,0,0,0,1.1830556,,0,17,Party for Democratic Socialism,54,679,5.381166,3.3013034,0,1,0,0,0.053811658,0,0,1,0,0,0,0,0,0,0,0,0,0
FI,140,1,1,2006,0.12866695,0.16700521,0.1675715,ITA,Prodi II,0,0,0,6.9677778,,0,26,Go Italy,26,107,22.222221,5.0764861,0,1,0.17690875,0,0.22328548,0,0,0,0,0,0,0,1,0,0,0,0,0
LN,26,1,0,2006,0.043449041,0.03921634,0.038695324,ITA,Prodi II,0,0,0,7.6605556,,0,26,North League,26,107,4.1269841,5.0764861,0,1,0.048417132,0,0.041467305,0,0,0,0,0,0,0,1,0,0,0,0,0
DCA/NPSI,4,0,0,2006,0.006821466,0.005372405,0.005515935,ITA,Prodi II,0,0,0,,,0,26,Chrisitan Democracy / New PSI,26,107,0.63492066,5.0764861,0,1,0.00744879,0,0.006379585,0,0,0,0,0,0,0,1,0,0,0,0,0
AN,71,1,0,2006,0.1209382,0.12305472,0.12389226,ITA,Prodi II,0,0,0,7.9855557,,0,26,National Alliance,26,107,11.269841,5.0764861,0,1,0.13221602,0,0.11323764,0,0,0,0,0,0,0,1,0,0,0,0,0
RNP,18,0,0,2006,0.029604489,0.025682651,0.02586475,ITA,Prodi II,0,1,0,4.3905815,,1,26,Rose in the Fist,26,107,2.8571429,5.0764861,0,1,0.033519555,0.045454547,0.028708134,0,0,0,0,0,0,0,1,0,0,0,0,0
SVP,4,0,0,2006,0.006821466,0.005372405,0.005510162,ITA,Prodi II,0,0,0,5.4000001,,0,26,South Tyrol Peoples Party,26,107,0.63492066,5.0764861,0,1,0.00744879,0,0.006379585,0,0,0,0,0,0,0,1,0,0,0,0,0
LUP,6,0,0,2006,0.010383413,0.008746809,0.008365063,ITA,Prodi II,0,0,0,2.9824561,,0,26,The Union-Prodi,26,107,0.95238096,5.0764861,0,1,0.011173184,0,0.009569378,0,0,0,0,0,0,0,1,0,0,0,0,0
ULIVO,220,0,0,2006,0.42188919,0.42201686,0.42197973,ITA,Prodi II,0,1,1,2.9824561,,16,26,The Olive Tree,26,107,34.920635,5.0764861,0,1,0.32588455,0.72727275,0.3508772,0,0,0,0,0,0,0,1,0,0,0,0,0
FDV,15,1,0,2006,0.024563996,0.021472972,0.021307383,ITA,Prodi II,0,1,0,2.6337037,,1,26,Federation of the Greens,26,107,2.3809524,5.0764861,0,1,0.027932961,0.045454547,0.023923445,0,0,0,0,0,0,0,1,0,0,0,0,0
IDV,17,0,0,2006,0.027722705,0.024037074,0.024371287,ITA,Prodi II,0,1,0,4.915,,1,26,Italy of Values,26,107,2.6984127,5.0764861,0,1,0.031657357,0.045454547,0.027113238,0,0,0,0,0,0,0,1,0,0,0,0,0
PRC,41,0,0,2006,0.070062838,0.061607838,0.061063111,ITA,Prodi II,0,1,0,0.95500001,,1,26,Communist Refoundation Party,26,107,6.5079365,5.0764861,0,1,0.076350093,0.045454547,0.065390751,0,0,0,0,0,0,0,1,0,0,0,0,0
UDEUR,10,0,0,2006,0.016095972,0.014388389,0.01405288,ITA,Prodi II,0,1,0,5.285,,1,26,Union of Democrats for Europe,26,107,1.5873016,5.0764861,0,1,0.018621974,0.045454547,0.015948962,0,0,0,0,0,0,0,1,0,0,0,0,0
UDC,39,0,0,2006,0.06522397,0.058116883,0.057611357,ITA,Prodi II,0,0,0,6.1666667,,0,26,Union of Christian and Centre Democrats,26,107,6.1904764,5.0764861,0,1,0.072625697,0,0.062200956,0,0,0,0,0,0,0,1,0,0,0,0,0
PDCI,16,0,0,2006,0.026109748,0.022616273,0.02278501,ITA,Prodi II,0,1,0,0.86,,1,26,Party of the Italian Communists,26,107,2.5396826,5.0764861,0,1,0.029795159,0.045454547,0.025518341,0,0,0,0,0,0,0,1,0,0,0,0,0
CDA,44,1,1,2003,0.30516431,0.31111112,0.31688133,NLD,Balkenende II,0,1,1,5.8017777,5.7,7,16,Christian Democrats,8,335,29.333334,4.7448335,0,1,0.2647059,0.4375,0.29333332,0,0,0,0,0,0,0,0,0,1,0,0,0
